年度,科目,題號,題目
112,社會,24,24.甲在質詢行政院衛生福利部部長時，指出某飲料製造商早已知道自家產品出現變質問題，嚴重影響消費者權益，但該公司卻不主動回收處理，反而繼續販售變質的產品，對於這種明知故犯的行為，政府應予以重罰。關於甲所擔任的公職，下列敘述何者正確？(A)負責審查法律是否違憲(B)負責審查中央政府預算(C)經由地方層級的選舉所產生(D)由行政院院長提請總統任命
112,社會,25,25.圖(十)為世界銀行繪製用來展現世界各(cid:7841)(cid:10030)國經濟實力的示意圖，圖中矩形面積(cid:42)(cid:39)的大小可呈現2011年該國經濟規模的大(cid:51)(cid:13475)(cid:13802)小。圖中甲國最可能是下列何者？(cid:17392)(cid:9673)(cid:11442)(cid:22589)(A)印度(B)美國(cid:22305)(cid:19424)(cid:14994)(cid:7516)(C)德國(D)奈及利亞
112,社會,26,26.圖(十一)為貫穿美洲的泛美公路示意圖，主幹線北起美國阿拉斯加，南至智利。美洲多國可透過這個公路系統相互連結，但巴拿馬到哥倫比亞之間的路段至今尚未修建。根據圖中資訊判斷，該路段未修建的原因之一最可能為下列何者？(A)年溫差大施工困難(B)保護熱帶雨林生態(C)運河阻隔難以跨越(D)維護因紐特人文化
112,社會,27,27.西班牙海外島嶼的某座火山於2021年9月噴發，圖(十二)為其噴發後熔岩流及火山灰落塵分布的狀況。根據圖中資訊判斷，下列推論何者較為合理？(A)當時的主要風向為西風(B)該區域的地勢西高東低(C)火山熔岩流向西流往太平洋(D)火山噴發地點距海約6公里
112,社會,28,28.臺灣本島的經緯度約介於22°N～25°N，120°E～122°E之間，降水的空間分布受到地形及季風的影響而有顯著差異。表(三)為本島四個氣象測站的資料，根據各測站位置及地形判斷，何者的年降水量可能最多？(A)甲(B)乙(C)丙(D)丁
112,社會,29,29.「距今六千多年前，此地區的人們觀察到，大約每隔365天，天狼星在拂曉的時候，和太陽同時位於東方的地平線上。因此他們定365天為一年，每年分為12個月，每月30天，年末加上5天。這種遵循太陽週期的曆法，依自然現象將一年分為『阿赫特』、『佩雷特』、『夏矛』三個季節，有別於同時期兩河流域的月亮週期曆法。」根據上文，「此地區」的發明最可能與下列何者有關？(A)推算河川氾濫情形，掌握農業生產(B)公民參與城邦事務，展現民主精神(C)基於因果輪迴觀念，建立階級制度(D)追尋宇宙創世真理，崇奉一神信仰
112,社會,30,30.某中共領導人接見日本國會議員時提到：「戰後日本很快就發達起來，這經驗很值得中國學習。當然，別人的經驗照搬也不行，中國有中國的條件，日本有日本的條件。我們不但要引進發達國家的資金和技術，充分利用各國的好經驗，並且要把這種經驗與中國的實際情況結合起來。」上述談話最可能與下列何者有關？(A)發起文化大革命，破除四舊(B)推動農工大躍進，超英趕美(C)沒收地主土地，分配給貧農(D)實施改革開放，設經濟特區
112,社會,31,31.表(四)呈現甲國於兩次世界大戰中，表(四)在歐洲戰場開始參戰與結束參戰的甲國在歐洲第一次第二次原因。表中的「？」最適合填入下戰場的情形世界大戰世界大戰列何者？開始支援「斯拉德國毀約攻(A)美國投下原子彈，敵國投降參戰的原因夫兄弟」打國土(B)簽署《凡爾賽條約》，戰敗投降結束？德國投降(C)國內共產政權成立，向同盟國議和參戰的原因(D)美國反對無限制潛艇政策，援助協約國
112,社會,32,32.西元前十ㄧ世紀周人滅商後，其勢力持續向東方擴展，由於周管轄的土地與人口在短時間內急速增加，為了天下的長治久安，因此周朝的統治者，設計出一套有效的政治制度管理各地。上述政治制度的內容，最可能是下列何者？(A)在領土內設置郡、縣，官員由國君直接任免(B)實施科舉制度，促進社會各階層人才的流動(C)將百姓編入戶籍，並以法律規範人民的義務(D)依據貴族的身分等級，授予土地與冊封爵位
112,社會,33,33.「某位君主為了統治上的考量，需要招募許多能夠書寫的人才。一開始在他的國度中，竟然找不到太多有文化的人，這是因為西羅馬帝國滅亡後，城市生活逐漸消失，文化知識也幾乎被遺忘殆盡。因此這位君主特地聘請知名學者，來主持文化復興工作，諸如設立新學校、抄寫古羅馬的重要拉丁文著作，使拉丁文成為各地共通的文字系統。」上述學者的身分，最可能是下列何者？(A)西元前五世紀的希臘哲學家(B)西元八世紀的基督教教士(C)西元十七世紀的歐洲天文學者(D)西元十八世紀的啟蒙運動思想家
112,社會,34,"34.在探討一國國內不同地區醫療資源差異時，通常會先觀察醫師人數和病床數，由相關數據與人口數的相對關係，可大致推論一個地區的醫療資源是否不足。表(五)是某國2018年四個地區關於人口與醫療資源的資料：表(五)地人口總數老年人口醫師人數平均每位醫師病床數平均每張病床區(人)比例(%)(人)負擔人數(人)(張)負擔人數(人)甲2,562,73819.509,719263.719,951128.5乙2,272,45913.263,824594.311,988189.6丙673,30919.42881764.33,204210.1丁322,83617.95820393.74,07379.3根據表中資料判斷，關於甲、乙、丙、丁四個地區的醫療資源，下列何項推論最適當？(A)老年人口最多的地區醫療資源最為不足(B)人口總數最少的地區醫療資源最為不足(C)相對於其他地區，乙地區的醫療資源最為不足(D)相對於其他地區，丙地區的醫療資源最為不足"
112,社會,35,35.「飢餓行銷」是一種常見的行銷手法，指的是業者在短時間內利用各種管道宣傳大批民眾排隊購買的熱潮，營造該項商品都會很快被搶購一空的情況，透過媒體將商品炒作成為時下流行的話題，進而引起民眾的消費欲望。關於上述行銷手法對於消費市場的影響，下列敘述何者最適當？(A)廠商間的競爭使消費者的選擇增加(B)業者的行銷手法將提高市場競爭程度(C)消費者受價格誘因影響而增加消費欲望(D)民眾的購物意願受非金錢誘因影響而提高
112,社會,36,36.若有人為了在選舉時讓支持的候選人當選，配合動員把戶籍遷移到非實際居住的行政區，企圖影響選舉結果，此種行為可能觸犯《刑法》，檢察官將代表國家主動起訴違法者。根據上述內容判斷，關於某位違法遷移戶籍者在接受偵查、審判的過程中，下列何種情況最可能出現？(A)遭到落選者提起民事訴訟要求損害賠償(B)在遭檢察官偵查的過程中度過18歲生日(C)被查出是在投票日的六個月前遷移戶籍(D)因為觸犯告訴乃論之罪而受到刑事處罰
112,社會,37,37.臺灣少子女化危機惡化的速度超乎想像，面對人口負成長的人口懸崖，有學者認為政府過往提出的相關政策已是緩不濟急，或許可以透過社會增加的方向，思考提高國民人數的對策。根據上述內容判斷，下列何項對策與該學者的意見最相符？(A)提高外籍移工僱用人數(B)鼓勵各國人才歸化入籍(C)推動老人長期照護政策(D)增加公立幼兒托育中心
112,社會,38,38.表(六)為某作家的三部長篇表(六)小說內容簡介，該作家藉此著作內容簡介構築十九至二十世紀臺灣歷刻畫多位臺灣青年在南洋戰場上被戰爭折甲史的發展過程。根據表中內磨至精神崩潰，甚至喪生的悲慘命運。容判斷，這三部小說呈現的敘述客家族群在臺灣中部山區生產樟腦，乙時代先後順序，最可能是下為保衛家園參與武裝抗日的故事。列何者？描繪臺灣人藉由參加文化協會、組織農民丙(A)乙→甲→丙運動，抵抗殖民統治的事蹟。(B)丙→乙→甲(C)丙→甲→乙(D)乙→丙→甲
112,社會,39,39.明清時期，蠶絲業是中國江南地區的重要產業。當時產出的生絲，主要供應國內需求，部分對外出口。下列何者最可能反映1830年代生絲出口的情況？(A)(B)(C)(D)
112,社會,40,40.表(七)是甲、乙兩國匯率變動的情形。根據表中內容判斷，若其他條件不變，且所有成本完全反應在商品售價上，相較於去年，在今年甲、乙兩國的市場中，最可能出現下列何種情形？(A)甲國商品在乙國的銷售量下滑(B)乙國商品在甲國的銷售量下滑(C)甲國進口的乙國商品數量下降(D)乙國進口的甲國商品價格下降
112,社會,41,41.圖(十三)是一座歷史建築，根據圖中內容判斷，該建築最可能興建於下列何時何地？(A)西元前六世紀的波斯地區(B)西元六世紀的阿拉伯半島(C)西元十六世紀的印度半島(D)西元十九世紀的南美地區
112,社會,42,42.為維護消費者權益，政府制定法律對市場上供應不實有機農產品的業者處以罰鍰，同時也能保障生產真正有機農產品農民的權益。上述主管機關對不實業者的處罰，與下列何者受到的處罰類型相同？(A)小華拒絕歸還向同事借的相機(B)大明竊取隔壁鄰居家中的財物(C)官員制定政策引發許多民眾不滿(D)父母縱容少年抽菸而遭行政處分
112,社會,43,43.甲國女性的就業率，長期以來皆大幅低於全國平均值，因此該國政府調查女性勞動人口中未就業者的原因，表(八)是調查結果中的部分統計資料。關於此資料的解讀，下列何者最適當？表(八)單位：%原因需照顧未滿需照顧65歲負責打理健康狀況其他年齡(歲)12歲子女以上家屬家務不佳30-3465.370.8911.432.9819.3335-3955.352.6021.394.2616.4040-4435.365.1639.707.1512.6345-497.058.1058.045.5021.3150-540.537.5856.694.6930.51(A)老年人口比例呈現上升趨勢(B)家庭職能因社會變遷而弱化(C)家庭平權的觀念仍有待加強(D)勞雇間的權力與資源不對等
112,社會,44,44.上文中「唐手佐久川」與王國的使節團得以前往中國，最可能與當時中國何項外交政策有關？(A)聯合西域部族對抗外患(B)簽訂條約，開放五口通商(C)與受冊封國家建立朝貢關係(D)訂定澶淵之盟，以兄弟相稱
112,社會,45,45.上文提及「政治局勢發生變化」，造成「唐手」向外傳播，此一變化最可能是指下列何者？(A)中國因甲午戰爭失敗割讓領土(B)天皇積極效法唐朝推展新制度(C)珍珠港事變導致美國對日宣戰(D)日本藉由牡丹社事件擴張勢力
112,社會,46,46.上文中登山步道開放的起始時間，主要是因為此時已具備下列何項條件？(A)地質穩定且地震較少(B)山上的積雪大多已融化(C)乾季雨少，步道不溼滑(cid:19)(cid:19)(cid:25)(D)西北季風盛行，天氣涼爽(cid:22)(cid:22)(cid:23)(cid:19)(cid:19)(cid:22)(cid:21)(cid:19)(cid:19)(cid:22)(cid:19)(cid:19)(cid:19)(cid:21)(cid:27)(cid:19)(cid:19)(cid:25)(cid:19)(cid:19)(cid:19)(cid:19)(cid:19)
112,社會,47,47.圖(十四)為其中一條登山路(cid:21)(cid:21)(cid:21)(cid:19)(cid:19)(cid:19)(cid:21)(cid:27)(cid:19)(cid:19)(cid:80)線，依據圖中資訊判斷，最(cid:20)(cid:19)(cid:25)(cid:19)(cid:20)(cid:19)(cid:23)可能為表(九)中的何者？(cid:20)(A)甲(B)乙(C)丙(cid:19)(cid:24)(cid:19)(cid:19)(cid:80)(cid:23605)(cid:28060)(cid:19456)(cid:28060)(cid:14883)(cid:24337)(D)丁圖(十四)
112,社會,48,48.根據表(九)中資訊，小婷與體力、經驗較為不足的民眾，選擇的路線分別為下列何者？(A)小婷選甲；體力、經驗較為不足的民眾選丁(B)小婷選乙；體力、經驗較為不足的民眾選丙(C)小婷選丙；體力、經驗較為不足的民眾選乙(D)小婷選丁；體力、經驗較為不足的民眾選甲
112,社會,49,49.根據上文及圖(十五)的資訊判斷，上述都市的氣候特色應為下列何者？(A)一月寒冷且年溫差大(B)一月溫暖且雨量較少(C)全年低溫且雨量稀少(D)終年有雨且夏雨較多
112,社會,50,50.文中提及奴隸的輸出地最可能包含下列何者？(A)南洋群島(B)朝鮮半島(C)伊比利半島(D)夏威夷群島
112,社會,51,51.文中提到船隻改走新的通航路線，是因此航路具備下列哪一優勢？(A)大幅縮短至印度洋周邊的航行路程(B)可避免通過滿布浮冰的大西洋海域(C)可藉由北大西洋暖流加快航行速度(D)有助於疏解前往南美洲擁擠的航路
112,社會,52,52.關於文中活動理念對臺灣帶來影響的過程，最適合以下列何者說明？(A)法律修改程序的變化(B)科技發展帶來的衝擊(C)風俗習慣的文化傳承(D)全球化下的文化交流
112,社會,53,53.根據圖(十六)判斷，關於這則宣傳標語所呈現的意義，下列敘述何者最適當？(A)主張對實施體罰者提起訴訟加以處罰(B)藉由改變家長價值觀來帶動社會變遷(C)上街請願要求國家立法保障兒童福利(D)推廣法治教育教導兒童保護自身權益
112,社會,54,54.關於文末前、後所提及我國的二項法規，下列敘述何者最適當？(A)以法律位階而言，前者具有最高性(B)以法律位階而言，後者具有固定性(C)以修法程序而言，皆須經總統公布後才生效(D)以修法程序而言，皆可由行政機關自行修訂
112,自然,1,1.若將某區域的原始森林育林成種植單一物種的樹林時，則此區域最可能出現下列何種變化？(A)生產者的物種數增加(B)消費者的物種數增加(C)食物網變得比較複雜(D)生態系變得比較不穩定
112,自然,2,2.在太魯閣地區常見到岩層或岩石受力而彎曲成美麗圖案，如圖(一)所示。這種彎曲的現象稱為下列何者？(A)斷層(B)褶皺(C)順向坡(D)逆向坡
112,自然,3,3.圖(二)為自製運動飲料的成分說明圖，圖中X所指應為下列何類物質？(A)醣類(B)有機酸(C)蛋白質(D)電解質
112,自然,4,4.豆腐乳為一種傳統發酵食品，其一做法是將豆腐接種毛黴菌以進行發酵，當豆腐被菌絲完全覆蓋後，再加入調味料而製成。下列有關毛黴菌構造的敘述，何者最合理？(A)不具孢子(B)不具粒線體(C)不具葉綠體(D)不具細胞壁
112,自然,5,5.圖(三)為某港口8/11～8/14的潮汐變化圖，根據圖中資訊判斷，8/11的潮差與8/14的潮差約相差多少公尺？(A)2(B)4(C)5(D)8
112,自然,6,6.阿東進行「水溫與加熱時間的關係」實驗，其裝置如圖(四)所示。老師看到實驗裝置後，建議他改善測量水溫的方式，阿東進行下列哪一個改善方式最合適？(A)將溫度計懸吊在水中，不接觸杯底(B)調整支架使酒精燈的火焰靠近溫度計(C)拿溫度計攪拌杯中的水，使水溫均勻(D)將酒精燈的酒精裝滿，使火焰大小固定
112,自然,7,7.氫氣因燃燒過程不會產生二氧化碳，是能源轉型的目標之一。依據製造方法的不同，可將氫氣分成幾類，其中四類如表(一)所示。在減碳環保的要求下，期望產生的氫氣要盡量是綠氫。表(一)依據表中資訊，下列說明何者最合理？(A)褐氫和灰氫在製造過程會使用化石燃料，而藍氫和綠氫皆沒有(B)將風力發電所產生的電能，用來電解水而產生的氫氣屬於綠氫(C)褐氫和灰氫作為燃料，在燃燒過程需要氧氣，而藍氫和綠氫則不用(D)氫氣被分成表中的四類顏色，主要是依據製造過程消耗掉的電能多寡來分類
112,自然,8,8.「若食物中所含的糖分容易被人體快速吸收，則會使血糖急遽上升，而引起某激素分泌增加，進而造成血糖快速下降，甚至形成餐後血糖過低的現象。」根據上述，有關此激素的敘述，下列何者正確？(A)是由肝臟分泌的胰島素(B)是由肝臟分泌的升糖素(C)是由胰島分泌的胰島素(D)是由胰島分泌的升糖素
112,自然,9,9.舞臺劇演出時，通常會讓周遭的環境昏暗，再用聚光燈來照射演員，讓觀眾能看見演員的表演。有關觀眾能看見演員表演的敘述，下列何者最合理？(A)聚光燈發出的光線照射在演員上，演員吸收這些光線，因此觀眾能看見演員(B)聚光燈發出的光線照射在演員上，演員折射這些光線，因此觀眾能看見演員(C)聚光燈發出的光線照射在演員上，演員反射這些光線，因此觀眾能看見演員(D)觀眾眼睛發出的光線照射在演員上，演員折射這些光線，因此觀眾能看見演員
112,自然,10,10.圖(五)為網友分享的海蝕平臺與火成岩脈照片，有研究指出此地的火成岩脈是岩漿侵入原有的岩層而形成，由於火成岩脈抵抗海水侵蝕的能力較原有的岩層強，因此會像牆一樣，立於海蝕平臺之上。根據上述說明，下列有關此地的火成岩脈、平臺上原有的岩層以及海水侵蝕作用的發生先後順序，何者最合理？圖(五)(A)火成岩脈最先形成，岩層再沉積，最後海水侵蝕(B)岩層最先沉積，火成岩脈再形成，最後海水侵蝕(C)海水最先侵蝕，岩層再沉積，最後火成岩脈形成(D)火成岩脈最先形成，海水再侵蝕，最後岩層沉積
112,自然,11,11.圖(六)為小琪進行實驗的步驟示意圖：++圖(六)關於此實驗，下列說明何者正確？(A)步驟一蒸發皿中的物質均為反應物(B)步驟二的目的可以避免反應速率過快(C)步驟三所加入的水是催化劑(D)步驟四的目的是為了分離不同的生成物
112,自然,12,12.道耳頓提出原子說後，越來越多的科學發現及證據顯示，原始的原子說需要修正。下列哪一項最可能是因為電子的發現，原子說需要修正的內容？(A)物質均由原子組成，原子不可再分割(B)相同元素的原子，有相同的質量和性質(C)不同元素的原子，有不同的質量和性質(D)化學反應是原子的重新排列組合，形成新的物質
112,自然,13,13.「白噪音」為一種人類可聽見的聲波，此聲波在各頻率的響度大致相同。在自然界中，類似的聲音包括雨聲、海浪聲等，而家中電風扇所製造出的聲音也與白噪音相似。科學家研究發現，嬰兒處在有此種白噪音的環境下，會比較容易入睡。根據上述，下列響度與頻率的關係圖，何者最適合用來表示此種幫助入睡的白噪音？(A)(B)(C)(D)
112,自然,14,14.已知DDT是一種作為殺蟲劑的化合物，難以被生物代謝。表(二)為某地區食物鏈中甲、乙、丙、丁四種生物體內含有的DDT濃度。已知其中一種生物為生產者，根據上述，下列推論何者正確？表(二)(A)食性關係可能為丙→甲→乙→丁(B)食性關係可能為丁→乙→甲→丙(C)丙生物最可能為此食物鏈中的生產者(D)甲生物最可能為此食物鏈中的三級消費者
112,自然,15,15.阿正閱讀一篇報導寫著：日本學者分析史前人類遺骸後，認為當時住在沖繩的史前人類很可能來自於臺灣，研究團隊為了驗證從臺灣航海遷徙的可能性，於2019年進行實驗。如圖(七)所示，阿正認為研究團隊會選在夏天進行實驗，是因為這時的洋流與季風風向有助於從臺灣航海向北至沖繩列島，進而到達日本列島。根據阿正的判斷，研究團隊進行實驗時的季風風向圖(七)與洋流應為下列何者？(A)東北季風與黑潮(B)西南季風與黑潮(C)東北季風與中國沿岸流(D)西南季風與中國沿岸流
112,自然,16,16.已知維管束植物可進行某種代謝作用，其反應式為：「甲+二氧化碳→氧氣+乙+水」。有關甲的名稱及其在植物體內主要運送的構造，下列何者最合理？(A)水，由木質部運送(B)水，由韌皮部運送(C)葡萄糖，由木質部運送(D)葡萄糖，由韌皮部運送
112,自然,17,17.表(三)為四位學生對於有機化合物、無機化合物中組成元素的說明，哪一位學生的說明最合理？(A)小玉(B)小如(C)小方(D)阿德
112,自然,18,18.400米賽跑的距離剛好是室外標準跑道最內圈一圈的長度，比賽中選手需跑在自己的跑道上，因內、外圈跑道長度的差異，不同跑道的選手起跑位置需作對應調整，如圖(八)所示。在這項比賽中最先跑完400米的選手，他在比賽過程哪一項物理量的大小必高於其他所有選手？(A)平均速率(B)平均速度12(C)過程中速率的最大值345(D)過程中速度的最大值6
112,自然,19,19.如圖(九)所示，一個半圓形軌道固定在水平桌面，軌道兩端均距水平桌面高度0.5m，將一顆小球在距水平桌面高度1.0m處，由靜止自由落下滑入半圓形軌道，若不計任何摩擦力或阻力，且小球滑過軌道最低點後，向上達到最高點時的動能為0，則最高點距水平桌面高度為下列何者？(A)0.25m(B)0.5m(C)1.0m(D)1.5m
112,自然,20,20.表(四)為生物研究保育中心網頁中四種植物的部分資料，有關此四種植物在分類階層上的敘述，下列何者無法確定？表(四)(A)Lil-2和Lil-3為同科的植物(B)Lil-2和Myr-6為同目的植物(C)Lil-2和Lil-1為不同屬的植物(D)Lil-2和Myr-6為不同屬的植物
112,自然,21,21.圖(十)為太陽系中幾顆行星的比較，根據這些星球的特性來判斷，圖中的X軸與Y軸單位依序最可能為下列何者？(A)體積(cm3)、與太陽的平均距離(AU)(B)與太陽的平均距離(AU)、體積(cm3)(C)與太陽的平均距離(AU)、密度(g/cm3)(D)密度(g/cm3)、與太陽的平均距離(AU)
112,自然,22,22.人體感染微生物到發病前所經過的時間稱為「潛伏期」。圖(十一)為小杉體溫恆定範圍及近十天每天早上的體溫紀錄，已知此段時間小杉感染了微生物X，其潛伏期為1～3天，發病時的症狀之一為體溫無法維持在恆定範圍內，則下列哪一天最可能為小杉初次感染此微生物的時間？(A)第1天(B)第3天(C)第6天(D)第8天
112,自然,23,23.甲、乙兩個質量相同的物體，靜置於無摩擦力的水平桌面上，甲、乙分別受到水平外力F、F後作直線運動，兩外力分別施力不同長短的時間後移除。已知甲乙兩物體在時間t＝0～60s期間的速度(v)與時間(t)關係圖，如圖(十二)所示，則有關兩物體在此期間受力情形的敘述，下列何者正確？(A)F施力時間較長，且外力大小F＞F甲甲乙(B)F施力時間較長，但外力大小F＜F甲甲乙(C)F施力時間較長，但外力大小F＞F乙甲乙(D)F施力時間較長，且外力大小F＜F
112,自然,24,24.圖(十三)為物質進出膜的實驗裝置，先在試管中裝入葡萄糖液，並將試管口用一層膜密封，再倒置於裝有澱粉液的燒杯中。已知葡萄糖能通過此膜，但澱粉不能通過此膜，若靜置一段時間平衡後，分別取出溶液以試劑進行檢測，則出現下列何現象最合理？(A)以碘液檢測，僅試管中的溶液變色(B)以碘液檢測，試管和燒杯中的溶液皆變色(C)以本氏液檢測，僅試管中的溶液變色圖(十三)(D)以本氏液檢測，試管和燒杯中的溶液皆變色
112,自然,25,25.在超市買到的蘋果可能是幾個月前就已經採摘下來了。為了長時間保存，會在蘋果表面塗上食用蠟，減少與氧氣接觸。蘋果熟化過程會將澱粉轉成糖，過程中會需要氧氣並產生二氧化碳，所以可藉由調整蘋果存放環境的氣體比例，減緩蘋果的熟化過程，延長保存期限。上述提及調整存放環境的氣體比例，其示意圖最可能為下列何者？(A)(B)(C)(D)
112,自然,26,26.砒霜是一種毒物，主成分為三氧化二砷(AsO)。古代製作砒霜的技術較不成23熟，砒霜中會含有少量的不純物質――硫或硫化物，硫或硫化物接觸到銀，會使銀氧化產生黑色的硫化銀(AgS)，這就是古裝劇中常見的以銀針試毒，2銀針變黑即表示有毒。依據上述，下列推論何者最合理？(A)硫化物發生還原反應而使銀針變黑(B)銀針變黑，是因為三氧化二砷被還原的結果(C)砒霜的純度越高，與銀針反應變黑的結果越明顯(D)將銀針改成活性較小的金屬如黃金，也會反應產生硫化物
112,自然,27,27.取甲、乙兩種化合物，分別在足量的氧氣中燃燒，反應式分別為：關於甲、乙兩種化合物的比較與說明，下列何者正確？(A)甲的分子量大於乙，且甲可能為醇類(B)甲的分子量大於乙，且甲可能為烴類(C)乙的分子量大於甲，且乙可能為醇類(D)乙的分子量大於甲，且乙可能為烴類
112,自然,28,28.圖(十四)為小佐某天前往圖中甲地旅遊前所查詢的地面天氣簡圖，圖中黑色實線為等壓線，已知圖中H和L的天氣系統未來會向圖中箭頭所指的方向移動，因此他認為接下來甲地應為晴朗的天氣。下列關於天氣系統H的敘述，何者最能用來說明小佐的看法？(A)中心近地面的氣流下沉，水氣不易凝結圖(十四)(B)中心近地面的氣流上升，水氣不易凝結(C)中心近地面氣壓比附近外圍低，水氣含量較少(D)中心近地面氣壓比附近外圍高，水氣含量較高
112,自然,29,29.小泉暑假時到武嶺一日遊，他從臺中住家開車出發，途中經清境農場稍作休息後，再開車上武嶺，之後再返回臺中住家，如圖(十五)所示。根據圖中資訊，當天不同時間時，小泉所在環境的氣壓與氣溫關係圖，何者最合理？(cid:5378)(cid:1875)圖(十五)(A)(B)(C)(D)
112,自然,30,30.圖(十六)為阿榮在購物網站上搜尋黑麻油所獲得的部分結果，圖中的數值為黑麻油的內容物含量及價格，他比較甲、乙兩種品牌的含量，覺得數值有不合理之處。下列關於甲、乙兩牌標示的敘述，何者最合理？1c.c.＝1cm3圖(十六)(A)甲牌有誤：c.c.與g都是質量的單位，所以兩者前面的數值應相同(B)甲牌有誤：c.c.與g都是體積的單位，所以兩者前面的數值應相同(C)乙牌有誤：黑麻油會浮於水面，所以mL前面的數值應大於g前面的數值(D)乙牌有誤：黑麻油會浮於水面，所以g前面的數值應大於mL前面的數值
112,自然,31,31.阿芳利用複式顯微鏡觀察小魚尾鰭內血液流動的方向，所觀察到的視野影像如圖(十七)所示，圖中的箭頭表示血液流動方向。若將培養皿往左緩慢地移動，則在視野中依序消失的血管，應為下列何者？(A)小動脈、微血管、小靜脈(B)小動脈、小靜脈、微血管(C)小靜脈、微血管、小動脈(D)小靜脈、小動脈、微血管
112,自然,32,32.下列為某牌口香糖廣告的說明：人體口腔中的環境接近中性，在用餐後一段時間會變酸，而增加蛀牙機率。除了每日正確刷牙外，在餐後嚼食無糖口香糖，可刺激唾液分泌，有效「平衡」口中酸性。此廣告搭配了兩張圖用以輔助說明，一張為圖(十八)，另一張圖最可能為下列何者？圖(十八)(A)(B)(C)(D)
112,自然,33,33.一木塊靜置於粗糙的水平面上，分別對此木塊施以不同大小的水平外力，木塊與水平面間對應的摩擦力大小及運動狀態如表(五)所示。若木塊與水平面間的最大靜摩擦力大小為f，根據表中資訊，推論f的大小關係，下列何ss者最合理？表(五)(A)f＜200gws(B)200gw＜f＜250gws(C)250gw＜f＜300gws(D)f＞300gw
112,自然,34,34.秀春買了一個電火鍋，圖(十九)為電火鍋上的電器標示，依據標示的資訊，在正常使用的情形下，此電火鍋達到最大功率時，每分鐘消耗多少的電能？(A)20J(B)110J(C)1200J圖(十九)(D)72000J
112,自然,35,35.圖(二十)為草莓花朵構造及其發育的示意圖，已知草莓是由花托處膨大而來，若圖(二十一)中的構造是由草莓的子房發育而成，則此構造應稱為下列何者？圖(二十)圖(二十一)(A)胚珠(B)種子(C)果實(D)花粉
112,自然,36,36.小逸每天中午都會記錄升旗臺上的竿影變化，他經過多年的測量發現在不考慮天氣因素的情況下，每年的1月底及11月底各有1次中午無竿影的紀錄。已知升旗臺上的旗竿鉛直立於水平地面上，根據上述資訊，升旗臺的所在位置最可能位於圖(二十二)圖(二十二)中甲、乙、丙、丁的哪一點？(A)甲(B)乙(C)丙(D)丁
112,自然,37,37.如圖(二十三)所示，有一電路裝置固定放置在水平面上，甲、乙兩段南北向的導線分別置於兩馬蹄型磁鐵所形成的磁場中，磁場恰好與甲、乙兩段導線垂直。判斷甲、乙兩段導線在磁場中所受磁力的方向，下列敘述何者正確？(A)甲、乙均向東(B)甲、乙均向西圖(二十三)(C)甲向東，乙向西(D)甲向西，乙向東
112,自然,38,38.軟骨發育不全症是體染色體中FGFR3基因發生突變所造成，患者具有身材矮小、四肢短小變形等特徵，若親代只有其中一方為患者，子代就會有50%以上的罹病率。已知阿佑因發生突變而患有軟骨發育不全症，但其父母皆未患病，若以F代表突變的FGFR3遺傳因子，f代表正常的FGFR3遺傳因子，則關於阿佑父母基因型的推論，下列何者最合理？(A)父：Ff、母：Ff(B)父：Ff、母：ff(C)父：FF、母：FF(D)父：ff、母：ff
112,自然,39,39.小櫻查詢了網路上的資料後，在月曆上把2個有特殊天文現象的日子作記號，如圖(二十四)所示。資料顯示在當月9日晚間可見到月食，而23日早上則可見到日食。根據此月曆，下列有關不同日期的月相何者最合理？(A)2日應為下弦月(B)16日應為滿月圖(二十四)(C)23日應為下弦月(D)30日應為上弦月
112,自然,40,40.下列為一則新聞報導：一場泳池慶生派對中，工作人員在泳池中倒入大量的液態氮，以製造煙霧效果並且炒熱氣氛，最後卻造成數人昏迷送醫。有人分析：「氮氣和池水中的氯會反應產生有毒的三氯化氮，對皮膚和呼吸道相當刺激。」小莫看完報導後，認為三氯化氮雖然有毒，但應該不是此次意外的原因，應是其他因素所致，下列何者最可能是她認為不是三氯化氮的理由？(A)空氣中有大量氮氣，池水也會接觸氮氣，但一般泳池並沒有類似的意外(B)池水溫度會因液態氮汽化而下降，反而會加快產生三氯化氮的反應速率(C)泳池會加入較高濃度的氯氣用以殺菌消毒，故泳池的氯含量比自來水高(D)液態氮汽化後所產生的氣體會溶於池水中，與池水中的氯接觸機會增加
112,自然,41,41.有甲、乙、丙三種固體純物質，三者對水的溶解情形及沸點如表(六)所示。有一份參雜甲、乙、丙的混合物，可經由兩步驟(加熱、加水過濾)而分離出甲、乙、丙，如圖(二十五)所示。表(六)依據上述資訊，下列推論何者最合理？(A)◆可能是甲，步驟一是加水過濾(B)◆可能是丙，步驟一是加水過濾圖(二十五)(C)○可能是甲，步驟二需加熱至300℃，才可使乙、丙分離(D)○可能是丙，步驟二需加熱至1500℃，才可使甲、乙分離
